variavel;site_id;estrato;no_treino;rotulo;n_sinalizadas;n_segmentos;estado_arcabouco;extrapolacao;incerto
direitos_titular_explicados;rosaazulkids.com.br;corp;0;1;8;283;true;False;nao
direitos_titular_explicados;sabin.com.br;corp;1;1;11;277;true;False;nao
direitos_titular_explicados;segurospromo.com.br;corp;0;1;8;247;true;False;nao
direitos_titular_explicados;sescmatogrosso.com.br;corp;0;1;3;88;true;False;nao
direitos_titular_explicados;seucreditodigital.com.br;corp;0;0;1;120;true;False;nao
direitos_titular_explicados;shopemme.com.br;corp;0;1;2;62;true;False;nao
direitos_titular_explicados;singularmedicamentos.com.br;corp;0;1;9;267;true;False;nao
direitos_titular_explicados;soldiersnutrition.com.br;corp;0;1;9;140;true;False;nao
direitos_titular_explicados;sorasa.com.br;corp;0;0;0;41;false;False;nao
direitos_titular_explicados;sporti.com.br;corp;0;1;7;96;true;False;nao
direitos_titular_explicados;telecine.com.br;corp;0;1;13;284;true;False;nao
direitos_titular_explicados;tigre.com.br;corp;0;1;7;198;true;False;nao
direitos_titular_explicados;tjsp.jus.br;corp;0;0;1;271;true;False;nao
direitos_titular_explicados;touti.com.br;corp;0;0;0;22;false;False;nao
direitos_titular_explicados;tradersbrasil.com.br;corp;0;1;5;148;true;False;nao
direitos_titular_explicados;tupan.com.br;corp;0;1;10;257;true;False;nao
direitos_titular_explicados;ufcat.edu.br;corp;0;1;5;103;true;False;nao
direitos_titular_explicados;uninga.br;corp;0;1;0;41;false;False;nao
direitos_titular_explicados;uniunica.edu.br;corp;0;1;21;1008;true;False;nao
direitos_titular_explicados;universoarquivos.com.br;corp;0;0;1;48;true;False;nao
direitos_titular_explicados;useange.com.br;corp;0;1;2;334;true;False;nao
direitos_titular_explicados;usjt.br;corp;0;1;13;297;true;False;nao
direitos_titular_explicados;verdecard.com.br;corp;0;1;1;61;true;False;nao
direitos_titular_explicados;verzani.com.br;corp;1;1;9;127;true;False;nao
direitos_titular_explicados;vibraresidencial.com.br;corp;1;0;2;130;true;False;nao
direitos_titular_explicados;vinilrecords.com.br;corp;0;0;0;95;false;False;nao
direitos_titular_explicados;vivara.com.br;corp;0;1;7;195;true;False;nao
direitos_titular_explicados;windx.com.br;corp;0;0;1;180;true;False;nao
direitos_titular_explicados;zoop.com.br;corp;0;1;4;203;true;False;nao
direitos_titular_explicados;administracao.pr.gov.br;gov;0;0;0;210;false;False;nao
direitos_titular_explicados;al.ce.gov.br;gov;0;0;0;235;false;False;nao
direitos_titular_explicados;cbm.sc.gov.br;gov;0;1;0;62;false;False;nao
direitos_titular_explicados;cetesb.sp.gov.br;gov;0;1;7;345;true;False;nao
direitos_titular_explicados;cps.sp.gov.br;gov;0;0;0;167;false;False;nao
direitos_titular_explicados;denatran.gov.br;gov;1;1;7;510;true;False;nao
direitos_titular_explicados;fundacaocasa.sp.gov.br;gov;0;1;6;167;true;False;nao
direitos_titular_explicados;icmbio.gov.br;gov;0;0;8;496;true;False;nao
direitos_titular_explicados;londrina.pr.gov.br;gov;0;0;1;196;true;False;nao
