site_id;estrato;y;F1_email_lgpd_proprio;F2_email_lgpd_externo;F3_email_generico_ancorado;F4_subpagina_titular;F5_contato_ancorado;F6_telefone_ancorado;F7_ancora_encarregado;F8_ancora_direitos
pravaler.com.br;corp;1;1;0;0;0;0;0;1;1
primeirainfanciaemdados.org.br;corp;1;0;1;0;0;0;0;1;1
radioculturafoz.com.br;corp;0;0;0;0;0;0;0;0;1
realoficial.com.br;corp;1;0;0;1;0;0;0;1;1
redesurftank.com.br;corp;1;0;0;1;0;0;0;1;1
relogioonline.com.br;corp;0;0;0;0;0;0;0;0;0
rifapersonalizada.com.br;corp;0;0;0;0;0;0;0;0;1
riomarrecife.com.br;corp;1;0;1;1;0;0;1;1;1
rosaazulkids.com.br;corp;1;0;0;0;0;0;0;0;0
sabin.com.br;corp;1;1;0;0;0;0;0;1;1
saudecaruaru.pe.gov.br;gov;0;0;0;0;0;0;0;0;0
segurospromo.com.br;corp;1;0;1;0;0;0;0;1;1
sei.ac.gov.br;gov;0;0;0;0;0;0;0;0;0
sescmatogrosso.com.br;corp;1;0;1;0;0;0;0;1;1
seucreditodigital.com.br;corp;0;0;0;0;0;0;0;0;0
shopemme.com.br;corp;1;0;0;1;0;0;0;0;1
sinaldoceu.com.br;corp;0;0;0;0;0;0;0;0;0
singularmedicamentos.com.br;corp;1;0;0;1;0;0;0;1;1
sinj.df.gov.br;gov;0;0;0;0;0;0;0;1;1
sinop.mt.gov.br;gov;1;1;0;0;0;0;0;1;0
sipros.pa.gov.br;gov;0;0;0;0;0;0;0;0;0
sitexpresso.com.br;corp;0;0;0;0;0;0;0;0;0
soldiersnutrition.com.br;corp;0;0;0;0;0;0;0;0;1
sorasa.com.br;corp;0;0;0;0;0;0;0;0;0
sporti.com.br;corp;1;1;0;1;0;0;0;1;1
ssmtelecom.com.br;corp;0;0;0;0;0;0;0;0;0
stamp.com.br;corp;0;0;0;0;0;0;0;0;0
tcu.gov.br;gov;1;1;0;0;0;1;1;1;1
technobytes.com.br;corp;0;0;0;0;0;0;0;0;0
telecine.com.br;corp;1;0;0;0;0;1;0;1;1
tigre.com.br;corp;1;0;1;0;0;0;0;1;1
tjsp.jus.br;corp;1;1;0;0;0;1;0;1;1
touti.com.br;corp;0;0;0;0;0;0;0;0;0
tradersbrasil.com.br;corp;0;0;0;0;0;0;0;0;1
tupan.com.br;corp;1;0;1;1;0;0;0;1;1
turbocloud.com.br;corp;0;0;0;0;0;0;0;0;0
ufcat.edu.br;corp;1;0;0;1;0;0;0;1;1
unifil.br;corp;0;0;0;0;0;0;0;0;0
unila.edu.br;corp;0;0;0;0;0;0;0;0;0
uninga.br;corp;1;0;0;1;0;0;1;1;1
uniunica.edu.br;corp;1;0;1;0;0;0;1;1;1
universoarquivos.com.br;corp;0;0;0;0;0;0;0;0;1
useange.com.br;corp;0;0;0;0;0;0;0;0;0
usjt.br;corp;1;0;1;0;0;0;0;1;1
verdecard.com.br;corp;1;0;1;0;0;0;0;0;1
verzani.com.br;corp;1;0;0;1;0;1;0;0;1
viabrs.com.br;corp;0;0;0;0;0;0;0;0;0
vibraresidencial.com.br;corp;1;0;1;0;0;0;0;1;1
videosdesexo.com.br;corp;0;0;0;0;0;0;0;0;0
vinilrecords.com.br;corp;0;0;0;0;0;0;0;0;0
vivara.com.br;corp;1;1;0;0;0;0;0;1;1
webprestador.com.br;corp;0;0;0;0;0;0;0;0;0
windx.com.br;corp;0;0;0;0;0;0;0;0;1
zoop.com.br;corp;1;1;0;0;0;0;0;0;1
