host,estrato,origem,ordem_frozen,banner,banner_conf,politica,politica_conf,canal,canal_conf
jornalminasgerais.mg.gov.br,gov,b7,26,True,0.95,False,0.95,False,0.95
vlibras.gov.br,gov,b7,29,True,0.95,True,0.95,False,0.95
pjf.mg.gov.br,gov,b7,30,False,0.95,False,0.95,False,0.95
sei.rj.gov.br,gov,b7,33,False,0.95,False,0.95,False,0.95
presidencia.gov.br,gov,b7,34,True,0.95,True,0.95,True,0.95
pmpr.pr.gov.br,gov,b7,35,True,0.95,True,0.95,False,0.95
iti.gov.br,gov,b7,36,True,0.95,True,0.95,True,0.95
dioe.pr.gov.br,gov,recollect,37,False,0.95,False,0.95,False,0.95
mogidascruzes.sp.gov.br,gov,b7,38,False,0.95,True,0.95,True,0.95
valinhos.sp.gov.br,gov,b7,39,True,0.65,True,0.95,False,0.95
piauilink.pi.gov.br,gov,b7,40,True,0.95,True,0.95,True,0.95
araruama.rj.gov.br,gov,b7,41,True,0.95,True,0.95,True,0.95
vreredesim.sp.gov.br,gov,b7,42,False,0.95,False,0.95,False,0.95
itapevi.sp.gov.br,gov,b7,44,False,0.95,True,0.95,False,0.95
fala.sp.gov.br,gov,b7,45,False,0.95,True,0.95,False,0.95
braganca.sp.gov.br,gov,b7,47,True,0.95,True,0.65,False,0.95
saogoncalo.rn.gov.br,gov,b7,48,False,0.95,False,0.95,False,0.95
goiania.go.gov.br,gov,b7,49,True,0.65,False,0.95,False,0.95
tcu.gov.br,gov,gov_supp,1,False,0.95,True,0.95,True,0.95
cdhu.sp.gov.br,gov,gov_supp,3,True,0.95,True,0.65,True,0.95
www.sc.gov.br,gov,gov_supp,4,True,0.65,True,0.95,True,0.95
educacao.go.gov.br,gov,gov_supp,5,True,0.95,True,0.95,True,0.95
sefaz.rs.gov.br,gov,gov_supp,6,True,0.65,True,0.65,False,0.95
cgu.gov.br,gov,gov_supp,7,True,0.95,True,0.95,False,0.95
sigeduc.rn.gov.br,gov,gov_supp,8,False,0.95,False,0.95,False,0.95
