ordem,estrato,rank_tranco,dominio,url,aprovado
171,empresarial,623186,paketa.com.br,https://paketa.com.br,true
172,empresarial,530911,freemeteo.com.br,https://freemeteo.com.br,true
173,empresarial,825105,sicdigital.com.br,https://sicdigital.com.br,true
174,empresarial,746508,uniaoquimica.com.br,https://uniaoquimica.com.br,true
175,empresarial,66838,diariodolitoral.com.br,https://diariodolitoral.com.br,true
176,empresarial,759540,bellaenxovais.com.br,https://bellaenxovais.com.br,true
177,empresarial,113904,uffs.edu.br,https://uffs.edu.br,true
178,empresarial,23866,riachuelo.com.br,https://riachuelo.com.br,true
179,empresarial,769761,damie.com.br,https://damie.com.br,true
180,empresarial,319434,datanetlink.com.br,https://datanetlink.com.br,true
181,empresarial,466242,knnidiomas.com.br,https://knnidiomas.com.br,true
182,empresarial,179037,vhita.com.br,https://vhita.com.br,true
183,empresarial,849236,unicuritiba.edu.br,https://unicuritiba.edu.br,true
184,empresarial,911964,biglinux.com.br,https://biglinux.com.br,true
185,empresarial,31790,unicesumar.edu.br,https://unicesumar.edu.br,true
186,empresarial,404223,c3telecom.net.br,https://c3telecom.net.br,true
187,empresarial,706383,primaxonline.com.br,https://primaxonline.com.br,true
188,empresarial,756042,appvendasplus.com.br,https://appvendasplus.com.br,true
189,empresarial,767826,conexaoincriveis.com.br,https://conexaoincriveis.com.br,true
190,empresarial,126584,suvinil.com.br,https://suvinil.com.br,true
191,empresarial,86997,mangasbrasuka.com.br,https://mangasbrasuka.com.br,true
192,empresarial,168613,meuollie.com.br,https://meuollie.com.br,true
193,empresarial,378161,topview.com.br,https://topview.com.br,true
194,empresarial,790547,jbcred.com.br,https://jbcred.com.br,true
195,empresarial,728418,datastone.com.br,https://datastone.com.br,true
196,empresarial,471257,mc1.com.br,https://mc1.com.br,true
197,empresarial,680785,unimedmaceio.com.br,https://unimedmaceio.com.br,true
198,empresarial,65216,mpf.mp.br,https://mpf.mp.br,true
199,empresarial,57603,rollingstone.com.br,https://rollingstone.com.br,true
200,empresarial,777141,fabrispuma.com.br,https://fabrispuma.com.br,true
201,empresarial,540506,domhelder.edu.br,https://domhelder.edu.br,true
202,empresarial,603631,padovani.com.br,https://padovani.com.br,true
203,empresarial,890139,icbsena.com.br,https://icbsena.com.br,true
204,empresarial,636956,farmabase.com.br,https://farmabase.com.br,true
205,empresarial,60629,yelumseguros.com.br,https://yelumseguros.com.br,true
206,empresarial,676299,mailworld.com.br,https://mailworld.com.br,true
207,empresarial,422228,gruppy.com.br,https://gruppy.com.br,true
208,empresarial,658833,tumelero.com.br,https://tumelero.com.br,true
209,empresarial,279032,broto.com.br,https://broto.com.br,true
210,empresarial,757091,asvezestem.com.br,https://asvezestem.com.br,true
211,empresarial,235095,sellercorp.com.br,https://sellercorp.com.br,true
212,empresarial,51400,ifsp.edu.br,https://ifsp.edu.br,true
213,empresarial,943565,sistemapoliedro.com.br,https://sistemapoliedro.com.br,true
214,empresarial,775039,elojob.com.br,https://elojob.com.br,true
215,empresarial,578981,danielgarcialeiloes.com.br,https://danielgarcialeiloes.com.br,true
216,empresarial,440977,uninorte.com.br,https://uninorte.com.br,true
217,empresarial,790224,jairamintas.com.br,https://jairamintas.com.br,true
218,empresarial,600760,temconsignado.com.br,https://temconsignado.com.br,true
219,empresarial,260824,turbonetworkdns.com.br,https://turbonetworkdns.com.br,true
220,empresarial,588738,netbiostele.com.br,https://netbiostele.com.br,true
221,empresarial,55686,bnews.com.br,https://bnews.com.br,true
222,empresarial,786304,hondaposvenda.com.br,https://hondaposvenda.com.br,true
